stop_point_id,journey_id,arrival_time,departure_time,stop_point_name,longitude,latitude
stop_point:SNCF:87758607:RapidTransit,vehicle_journey:SNCF:2024-07-08:EACE07:1187:RapidTransit,234100,234100,Châtelet les Halles,2.34814,48.85983
stop_point:SNCF:87271023:RapidTransit,vehicle_journey:SNCF:2024-07-08:EACE07:1187:RapidTransit,234400,234500,Gare du Nord,2.355151,48.880185
stop_point:SNCF:87164798:RapidTransit,vehicle_journey:SNCF:2024-07-08:EACE07:1187:RapidTransit,234900,235000,La Plaine Stade de France - Saint-Denis - Aubervilliers,2.362621,48.91832
stop_point:SNCF:87271304:RapidTransit,vehicle_journey:SNCF:2024-07-08:EACE07:1187:RapidTransit,235200,235200,La Courneuve - Aubervilliers,2.38443,48.9242
stop_point:SNCF:87271395:RapidTransit,vehicle_journey:SNCF:2024-07-08:EACE07:1187:RapidTransit,235500,235500,Le Bourget,2.425755,48.930926
stop_point:SNCF:87271403:RapidTransit,vehicle_journey:SNCF:2024-07-08:EACE07:1187:RapidTransit,235800,235800,Drancy,2.45497,48.93298
stop_point:SNCF:87271478:RapidTransit,vehicle_journey:SNCF:2024-07-08:EACE07:1187:RapidTransit,000000,000000,Le Blanc-Mesnil,2.477409,48.932484
stop_point:SNCF:87271411:RapidTransit,vehicle_journey:SNCF:2024-07-08:EACE07:1187:RapidTransit,000200,000300,Aulnay-sous-Bois,2.494379,48.931869
stop_point:SNCF:87271445:RapidTransit,vehicle_journey:SNCF:2024-07-08:EACE07:1187:RapidTransit,000500,000600,Sevran Beaudottes,2.52474,48.94743
stop_point:SNCF:87271452:RapidTransit,vehicle_journey:SNCF:2024-07-08:EACE07:1187:RapidTransit,000800,000800,Villepinte,2.512138,48.963006
stop_point:SNCF:87271486:RapidTransit,vehicle_journey:SNCF:2024-07-08:EACE07:1187:RapidTransit,001000,001100,Parc des expositions,2.51382,48.973383
stop_point:SNCF:87271460:RapidTransit,vehicle_journey:SNCF:2024-07-08:EACE07:1187:RapidTransit,001500,001600,Aéroport Roissy Charles de Gaulle 1,2.56135,49.00956
stop_point:SNCF:87001479:RapidTransit,vehicle_journey:SNCF:2024-07-08:EACE07:1187:RapidTransit,001900,001900,Aéroport - Charles-de-Gaulle 2 RER,2.570665,49.003965
stop_point:SNCF:87758607:RapidTransit,vehicle_journey:SNCF:2024-07-08:EADO83:1187:RapidTransit,221400,221400,Châtelet les Halles,2.34814,48.85983
stop_point:SNCF:87271023:RapidTransit,vehicle_journey:SNCF:2024-07-08:EADO83:1187:RapidTransit,221700,221800,Gare du Nord,2.355151,48.880185
