stop_point_id,journey_id,arrival_time,departure_time,stop_point_name,longitude,latitude
stop_point:SNCF:87276089:RapidTransit,vehicle_journey:SNCF:2024-07-08:141186-141187:1187:RapidTransit,095500,095500,Montigny - Beauchamp,2.197711,49.007575
stop_point:SNCF:87276071:RapidTransit,vehicle_journey:SNCF:2024-07-08:141186-141187:1187:RapidTransit,095900,095900,Franconville - Le Plessis-Bouchard,2.235071,48.993577
stop_point:SNCF:87276063:RapidTransit,vehicle_journey:SNCF:2024-07-08:141186-141187:1187:RapidTransit,100100,100200,Cernay,2.256768,48.985405
stop_point:SNCF:87276055:RapidTransit,vehicle_journey:SNCF:2024-07-08:141186-141187:1187:RapidTransit,100400,100500,Ermont - Eaubonne,2.271229,48.980332
stop_point:SNCF:87276170:RapidTransit,vehicle_journey:SNCF:2024-07-08:141186-141187:1187:RapidTransit,100800,100900,Saint-Gratien,2.28531,48.96403
stop_point:SNCF:87271148:RapidTransit,vehicle_journey:SNCF:2024-07-08:141186-141187:1187:RapidTransit,101100,101100,Épinay-sur-Seine,2.302614,48.954208
stop_point:SNCF:87271205:RapidTransit,vehicle_journey:SNCF:2024-07-08:141186-141187:1187:RapidTransit,101400,101500,Gennevilliers,2.30699,48.93368
stop_point:SNCF:87272146:RapidTransit,vehicle_journey:SNCF:2024-07-08:141186-141187:1187:RapidTransit,101600,101700,Les Grésillons,2.31441,48.92007
stop_point:SNCF:87271247:RapidTransit,vehicle_journey:SNCF:2024-07-08:141186-141187:1187:RapidTransit,102000,102100,Saint-Ouen,2.32257,48.90531
stop_point:SNCF:87111278:RapidTransit,vehicle_journey:SNCF:2024-07-08:141186-141187:1187:RapidTransit,102300,102400,Porte de Clichy,2.31462,48.89399
stop_point:SNCF:87381012:RapidTransit,vehicle_journey:SNCF:2024-07-08:141186-141187:1187:RapidTransit,102700,102800,Péreire Levallois,2.297947,48.885358
stop_point:SNCF:87381020:RapidTransit,vehicle_journey:SNCF:2024-07-08:141186-141187:1187:RapidTransit,103000,103100,Neuilly - Porte Maillot,2.284516,48.877983
stop_point:SNCF:87381038:RapidTransit,vehicle_journey:SNCF:2024-07-08:141186-141187:1187:RapidTransit,103300,103400,Avenue Foch,2.275617,48.870971
stop_point:SNCF:87381046:RapidTransit,vehicle_journey:SNCF:2024-07-08:141186-141187:1187:RapidTransit,103500,103500,Avenue Henri Martin,2.272238,48.864408
stop_point:SNCF:87276089:RapidTransit,vehicle_journey:SNCF:2024-07-08:141190-141191:1187:RapidTransit,102500,102500,Montigny - Beauchamp,2.197711,49.007575
stop_point:SNCF:87276071:RapidTransit,vehicle_journey:SNCF:2024-07-08:141190-141191:1187:RapidTransit,102800,102900,Franconville - Le Plessis-Bouchard,2.235071,48.993577
