stop_point_id,journey_id,arrival_time,departure_time,stop_point_name,longitude,latitude
stop_point:SNCF:87682005:RapidTransit,vehicle_journey:SNCF:2024-07-08:122302-122303:1187:RapidTransit,191300,191300,Melun,2.655349,48.527583
stop_point:SNCF:87682179:RapidTransit,vehicle_journey:SNCF:2024-07-08:122302-122303:1187:RapidTransit,191500,191600,Le Mée,2.624008,48.539936
stop_point:SNCF:87682161:RapidTransit,vehicle_journey:SNCF:2024-07-08:122302-122303:1187:RapidTransit,191900,192000,Cesson,2.593779,48.565671
stop_point:SNCF:87682187:RapidTransit,vehicle_journey:SNCF:2024-07-08:122302-122303:1187:RapidTransit,192300,192400,Savigny-le-Temple - Nandy,2.583678,48.595519
stop_point:SNCF:87682153:RapidTransit,vehicle_journey:SNCF:2024-07-08:122302-122303:1187:RapidTransit,192700,192800,Lieusaint - Moissy,2.56902,48.627158
stop_point:SNCF:87682146:RapidTransit,vehicle_journey:SNCF:2024-07-08:122302-122303:1187:RapidTransit,193200,193300,Combs-la-Ville - Quincy,2.547728,48.66721
stop_point:SNCF:87682138:RapidTransit,vehicle_journey:SNCF:2024-07-08:122302-122303:1187:RapidTransit,193500,193600,Boussy-Saint-Antoine,2.532726,48.680893
stop_point:SNCF:87682120:RapidTransit,vehicle_journey:SNCF:2024-07-08:122302-122303:1187:RapidTransit,193800,193900,Brunoy,2.506522,48.699087
stop_point:SNCF:87682112:RapidTransit,vehicle_journey:SNCF:2024-07-08:122302-122303:1187:RapidTransit,194200,194300,Yerres,2.483326,48.706727
stop_point:SNCF:87682104:RapidTransit,vehicle_journey:SNCF:2024-07-08:122302-122303:1187:RapidTransit,194500,194600,Montgeron - Crosne,2.462263,48.708074
stop_point:SNCF:87681825:RapidTransit,vehicle_journey:SNCF:2024-07-08:122302-122303:1187:RapidTransit,195000,195100,Villeneuve-Saint-Georges,2.446523,48.729972
stop_point:SNCF:87608802:RapidTransit,vehicle_journey:SNCF:2024-07-08:122302-122303:1187:RapidTransit,195500,195600,Créteil - Pompadour,2.435276,48.77154
stop_point:SNCF:87681155:RapidTransit,vehicle_journey:SNCF:2024-07-08:122302-122303:1187:RapidTransit,200000,200100,Maisons-Alfort - Alfortville,2.426977,48.802071
stop_point:SNCF:87686030:RapidTransit,vehicle_journey:SNCF:2024-07-08:122302-122303:1187:RapidTransit,200700,200800,Paris - Gare de Lyon - Banlieue,2.37352,48.844888
stop_point:SNCF:87758607:RapidTransit,vehicle_journey:SNCF:2024-07-08:122302-122303:1187:RapidTransit,201100,201200,Châtelet les Halles,2.34814,48.85983
stop_point:SNCF:87271023:RapidTransit,vehicle_journey:SNCF:2024-07-08:122302-122303:1187:RapidTransit,201500,201700,Gare du Nord,2.355151,48.880185
stop_point:SNCF:87164780:RapidTransit,vehicle_journey:SNCF:2024-07-08:122302-122303:1187:RapidTransit,202200,202200,Stade de France - Saint-Denis,2.35134,48.91779
stop_point:SNCF:87681007:RapidTransit,vehicle_journey:SNCF:2024-07-08:122506-122507:1187:RapidTransit,081900,081900,Corbeil-Essonnes,2.47376,48.614405
stop_point:SNCF:87681395:RapidTransit,vehicle_journey:SNCF:2024-07-08:122506-122507:1187:RapidTransit,082100,082100,Le Bras de Fer,2.450625,48.623287
stop_point:SNCF:87681387:RapidTransit,vehicle_journey:SNCF:2024-07-08:122506-122507:1187:RapidTransit,082400,082500,Évry - Courcouronnes,2.428581,48.625507
stop_point:SNCF:87681346:RapidTransit,vehicle_journey:SNCF:2024-07-08:122506-122507:1187:RapidTransit,082700,082800,Orangis - Bois de l'Épine,2.407765,48.636315
stop_point:SNCF:87681379:RapidTransit,vehicle_journey:SNCF:2024-07-08:122506-122507:1187:RapidTransit,083100,083200,Grigny Centre,2.395749,48.653446
stop_point:SNCF:87681312:RapidTransit,vehicle_journey:SNCF:2024-07-08:122506-122507:1187:RapidTransit,083500,083600,Viry-Châtillon,2.386407,48.676128
stop_point:SNCF:87545244:RapidTransit,vehicle_journey:SNCF:2024-07-08:122506-122507:1187:RapidTransit,083800,083900,Juvisy,2.38267,48.68917
stop_point:SNCF:87681304:RapidTransit,vehicle_journey:SNCF:2024-07-08:122506-122507:1187:RapidTransit,084300,084300,Vigneux-sur-Seine,2.414398,48.708213
stop_point:SNCF:87681825:RapidTransit,vehicle_journey:SNCF:2024-07-08:122506-122507:1187:RapidTransit,084800,084800,Villeneuve-Saint-Georges,2.446523,48.729972
stop_point:SNCF:87681155:RapidTransit,vehicle_journey:SNCF:2024-07-08:122506-122507:1187:RapidTransit,085600,090100,Maisons-Alfort - Alfortville,2.426977,48.802071
stop_point:SNCF:87686030:RapidTransit,vehicle_journey:SNCF:2024-07-08:122506-122507:1187:RapidTransit,090700,090800,Paris - Gare de Lyon - Banlieue,2.37352,48.844888
