stop_point_id,journey_id,arrival_time,departure_time,stop_point_name,longitude,latitude
stop_point:SNCF:87116111:RapidTransit,vehicle_journey:SNCF:2024-07-08:116192:1187:RapidTransit,080200,080200,Chelles - Gournay,2.584157,48.874316
stop_point:SNCF:87113522:RapidTransit,vehicle_journey:SNCF:2024-07-08:116192:1187:RapidTransit,080400,080500,Le Chénay Gagny,2.55266,48.876805
stop_point:SNCF:87113514:RapidTransit,vehicle_journey:SNCF:2024-07-08:116192:1187:RapidTransit,080800,080900,Gagny,2.526582,48.88309
stop_point:SNCF:87113472:RapidTransit,vehicle_journey:SNCF:2024-07-08:116192:1187:RapidTransit,081000,081100,Le Raincy - Villemomble - Montfermeil,2.512058,48.889311
stop_point:SNCF:87113407:RapidTransit,vehicle_journey:SNCF:2024-07-08:116192:1187:RapidTransit,081400,081500,Bondy,2.479022,48.894423
stop_point:SNCF:87113217:RapidTransit,vehicle_journey:SNCF:2024-07-08:116192:1187:RapidTransit,081800,081900,Noisy-le-Sec,2.460421,48.896318
stop_point:SNCF:87113209:RapidTransit,vehicle_journey:SNCF:2024-07-08:116192:1187:RapidTransit,082300,082400,Pantin,2.400371,48.89777
stop_point:SNCF:87654798:RapidTransit,vehicle_journey:SNCF:2024-07-08:116192:1187:RapidTransit,082600,082700,Rosa Parks,2.37397,48.89602
stop_point:SNCF:87281873:RapidTransit,vehicle_journey:SNCF:2024-07-08:116192:1187:RapidTransit,083000,083100,Magenta,2.358362,48.879706
stop_point:SNCF:87281899:RapidTransit,vehicle_journey:SNCF:2024-07-08:116192:1187:RapidTransit,083600,083600,Haussmann - Saint-Lazare,2.32862,48.87478
stop_point:SNCF:87281899:RapidTransit,vehicle_journey:SNCF:2024-07-08:116407:1187:RapidTransit,154300,154300,Haussmann - Saint-Lazare,2.32862,48.87478
stop_point:SNCF:87281873:RapidTransit,vehicle_journey:SNCF:2024-07-08:116407:1187:RapidTransit,154600,154700,Magenta,2.358362,48.879706
stop_point:SNCF:87654798:RapidTransit,vehicle_journey:SNCF:2024-07-08:116407:1187:RapidTransit,154900,155000,Rosa Parks,2.37397,48.89602
stop_point:SNCF:87113209:RapidTransit,vehicle_journey:SNCF:2024-07-08:116407:1187:RapidTransit,155300,155400,Pantin,2.400371,48.89777
stop_point:SNCF:87113217:RapidTransit,vehicle_journey:SNCF:2024-07-08:116407:1187:RapidTransit,155800,155900,Noisy-le-Sec,2.460421,48.896318
stop_point:SNCF:87113407:RapidTransit,vehicle_journey:SNCF:2024-07-08:116407:1187:RapidTransit,160000,160100,Bondy,2.479022,48.894423
stop_point:SNCF:87113472:RapidTransit,vehicle_journey:SNCF:2024-07-08:116407:1187:RapidTransit,160400,160400,Le Raincy - Villemomble - Montfermeil,2.512058,48.889311
stop_point:SNCF:87113514:RapidTransit,vehicle_journey:SNCF:2024-07-08:116407:1187:RapidTransit,160600,160700,Gagny,2.526582,48.88309
stop_point:SNCF:87113522:RapidTransit,vehicle_journey:SNCF:2024-07-08:116407:1187:RapidTransit,160900,161000,Le Chénay Gagny,2.55266,48.876805
stop_point:SNCF:87116111:RapidTransit,vehicle_journey:SNCF:2024-07-08:116407:1187:RapidTransit,161300,161300,Chelles - Gournay,2.584157,48.874316
stop_point:SNCF:87281899:RapidTransit,vehicle_journey:SNCF:2024-07-08:116423:1187:RapidTransit,160900,160900,Haussmann - Saint-Lazare,2.32862,48.87478
stop_point:SNCF:87281873:RapidTransit,vehicle_journey:SNCF:2024-07-08:116423:1187:RapidTransit,161200,161300,Magenta,2.358362,48.879706
stop_point:SNCF:87654798:RapidTransit,vehicle_journey:SNCF:2024-07-08:116423:1187:RapidTransit,161600,161700,Rosa Parks,2.37397,48.89602
stop_point:SNCF:87113209:RapidTransit,vehicle_journey:SNCF:2024-07-08:116423:1187:RapidTransit,161900,162000,Pantin,2.400371,48.89777
stop_point:SNCF:87113217:RapidTransit,vehicle_journey:SNCF:2024-07-08:116423:1187:RapidTransit,162500,162600,Noisy-le-Sec,2.460421,48.896318
stop_point:SNCF:87113407:RapidTransit,vehicle_journey:SNCF:2024-07-08:116423:1187:RapidTransit,162800,162900,Bondy,2.479022,48.894423
stop_point:SNCF:87113472:RapidTransit,vehicle_journey:SNCF:2024-07-08:116423:1187:RapidTransit,163100,163200,Le Raincy - Villemomble - Montfermeil,2.512058,48.889311
stop_point:SNCF:87113514:RapidTransit,vehicle_journey:SNCF:2024-07-08:116423:1187:RapidTransit,163400,163500,Gagny,2.526582,48.88309
stop_point:SNCF:87113522:RapidTransit,vehicle_journey:SNCF:2024-07-08:116423:1187:RapidTransit,163700,163800,Le Chénay Gagny,2.55266,48.876805
stop_point:SNCF:87116111:RapidTransit,vehicle_journey:SNCF:2024-07-08:116423:1187:RapidTransit,164100,164100,Chelles - Gournay,2.584157,48.874316
stop_point:SNCF:87281899:RapidTransit,vehicle_journey:SNCF:2024-07-08:116431:1187:RapidTransit,162400,162400,Haussmann - Saint-Lazare,2.32862,48.87478
stop_point:SNCF:87281873:RapidTransit,vehicle_journey:SNCF:2024-07-08:116431:1187:RapidTransit,162700,162800,Magenta,2.358362,48.879706
stop_point:SNCF:87654798:RapidTransit,vehicle_journey:SNCF:2024-07-08:116431:1187:RapidTransit,163100,163200,Rosa Parks,2.37397,48.89602
stop_point:SNCF:87113209:RapidTransit,vehicle_journey:SNCF:2024-07-08:116431:1187:RapidTransit,163400,163500,Pantin,2.400371,48.89777
