stop_point_id,journey_id,arrival_time,departure_time,stop_point_name,longitude,latitude,rer_line
stop_point:SNCF:87758201:RapidTransit,vehicle_journey:SNCF:2024-07-22:BERO33:1187:RapidTransit,082300,082300,Boissy-Saint-Léger,2.505344,48.753076,A
stop_point:SNCF:87758193:RapidTransit,vehicle_journey:SNCF:2024-07-22:BERO33:1187:RapidTransit,082500,082600,Sucy-en-Brie - Bonneuil-sur-Marne,2.508059,48.771139,A
stop_point:SNCF:87758185:RapidTransit,vehicle_journey:SNCF:2024-07-22:BERO33:1187:RapidTransit,082800,082800,La Varenne Saint-Hilaire - Chennevières-sur-Marne,2.513141,48.794996,A
stop_point:SNCF:87758177:RapidTransit,vehicle_journey:SNCF:2024-07-22:BERO33:1187:RapidTransit,083000,083100,Champigny,2.509683,48.807303,A
stop_point:SNCF:87758169:RapidTransit,vehicle_journey:SNCF:2024-07-22:BERO33:1187:RapidTransit,083200,083300,Le Parc de Saint-Maur RER,2.485622,48.805162,A
stop_point:SNCF:87758151:RapidTransit,vehicle_journey:SNCF:2024-07-22:BERO33:1187:RapidTransit,083400,083500,Saint-Maur-des-Fossés - Créteil,2.472318,48.806348,A
stop_point:SNCF:87758144:RapidTransit,vehicle_journey:SNCF:2024-07-22:BERO33:1187:RapidTransit,083700,083700,Joinville-le-Pont,2.463853,48.821055,A
stop_point:SNCF:87758136:RapidTransit,vehicle_journey:SNCF:2024-07-22:BERO33:1187:RapidTransit,083900,084000,Nogent-sur-Marne,2.47194,48.834382,A
stop_point:SNCF:87758128:RapidTransit,vehicle_journey:SNCF:2024-07-22:BERO33:1187:RapidTransit,084100,084200,Fontenay-sous-Bois,2.464339,48.843448,A
stop_point:SNCF:87758110:RapidTransit,vehicle_journey:SNCF:2024-07-22:BERO33:1187:RapidTransit,084400,084500,Vincennes,2.433356,48.847334,A
stop_point:SNCF:87758102:RapidTransit,vehicle_journey:SNCF:2024-07-22:BERO33:1187:RapidTransit,084800,084800,Nation,2.395952,48.848177,A
stop_point:SNCF:87758581:RapidTransit,vehicle_journey:SNCF:2024-07-22:BERO33:1187:RapidTransit,085000,085100,Paris Gare de Lyon,2.374082,48.843811,A
stop_point:SNCF:87758607:RapidTransit,vehicle_journey:SNCF:2024-07-22:BERO33:1187:RapidTransit,085400,085500,Châtelet les Halles,2.34814,48.85983,A
stop_point:SNCF:87758599:RapidTransit,vehicle_journey:SNCF:2024-07-22:BERO33:1187:RapidTransit,085600,085700,Auber,2.330432,48.871956,A
stop_point:SNCF:87758003:RapidTransit,vehicle_journey:SNCF:2024-07-22:BERO33:1187:RapidTransit,090000,090100,Charles-de-Gaulle Étoile,2.29502,48.874201,A
stop_point:SNCF:87758011:RapidTransit,vehicle_journey:SNCF:2024-07-22:BERO33:1187:RapidTransit,090400,090400,La Grande Arche de la Défense,2.238212,48.891718,A
stop_point:SNCF:87758201:RapidTransit,vehicle_journey:SNCF:2024-07-22:BERO37:1187:RapidTransit,084700,084700,Boissy-Saint-Léger,2.505344,48.753076,A
stop_point:SNCF:87758193:RapidTransit,vehicle_journey:SNCF:2024-07-22:BERO37:1187:RapidTransit,084900,085000,Sucy-en-Brie - Bonneuil-sur-Marne,2.508059,48.771139,A
stop_point:SNCF:87758185:RapidTransit,vehicle_journey:SNCF:2024-07-22:BERO37:1187:RapidTransit,085200,085200,La Varenne Saint-Hilaire - Chennevières-sur-Marne,2.513141,48.794996,A
stop_point:SNCF:87758177:RapidTransit,vehicle_journey:SNCF:2024-07-22:BERO37:1187:RapidTransit,085400,085500,Champigny,2.509683,48.807303,A
stop_point:SNCF:87758169:RapidTransit,vehicle_journey:SNCF:2024-07-22:BERO37:1187:RapidTransit,085600,085700,Le Parc de Saint-Maur RER,2.485622,48.805162,A
stop_point:SNCF:87758151:RapidTransit,vehicle_journey:SNCF:2024-07-22:BERO37:1187:RapidTransit,085800,085900,Saint-Maur-des-Fossés - Créteil,2.472318,48.806348,A
stop_point:SNCF:87758144:RapidTransit,vehicle_journey:SNCF:2024-07-22:BERO37:1187:RapidTransit,090100,090100,Joinville-le-Pont,2.463853,48.821055,A
stop_point:SNCF:87758136:RapidTransit,vehicle_journey:SNCF:2024-07-22:BERO37:1187:RapidTransit,090300,090400,Nogent-sur-Marne,2.47194,48.834382,A
stop_point:SNCF:87758128:RapidTransit,vehicle_journey:SNCF:2024-07-22:BERO37:1187:RapidTransit,090500,090600,Fontenay-sous-Bois,2.464339,48.843448,A
stop_point:SNCF:87758110:RapidTransit,vehicle_journey:SNCF:2024-07-22:BERO37:1187:RapidTransit,090800,090900,Vincennes,2.433356,48.847334,A
stop_point:SNCF:87758102:RapidTransit,vehicle_journey:SNCF:2024-07-22:BERO37:1187:RapidTransit,091200,091200,Nation,2.395952,48.848177,A
stop_point:SNCF:87758581:RapidTransit,vehicle_journey:SNCF:2024-07-22:BERO37:1187:RapidTransit,091400,091500,Paris Gare de Lyon,2.374082,48.843811,A
stop_point:SNCF:87758607:RapidTransit,vehicle_journey:SNCF:2024-07-22:BERO37:1187:RapidTransit,091800,091900,Châtelet les Halles,2.34814,48.85983,A
stop_point:SNCF:87758599:RapidTransit,vehicle_journey:SNCF:2024-07-22:BERO37:1187:RapidTransit,092000,092100,Auber,2.330432,48.871956,A
stop_point:SNCF:87758003:RapidTransit,vehicle_journey:SNCF:2024-07-22:BERO37:1187:RapidTransit,092400,092500,Charles-de-Gaulle Étoile,2.29502,48.874201,A
stop_point:SNCF:87758011:RapidTransit,vehicle_journey:SNCF:2024-07-22:BERO37:1187:RapidTransit,092800,092800,La Grande Arche de la Défense,2.238212,48.891718,A
stop_point:SNCF:87382655:RapidTransit,vehicle_journey:SNCF:2024-07-22:NANI02:1187:RapidTransit,155700,155700,Cergy le Haut,2.011872,49.048493,A
stop_point:SNCF:87382499:RapidTransit,vehicle_journey:SNCF:2024-07-22:NANI02:1187:RapidTransit,155900,160000,Cergy Saint-Christophe,2.034437,49.049691,A
stop_point:SNCF:87381905:RapidTransit,vehicle_journey:SNCF:2024-07-22:NANI02:1187:RapidTransit,160300,160400,Cergy Préfecture,2.07982,49.03639,A
stop_point:SNCF:87334482:RapidTransit,vehicle_journey:SNCF:2024-07-22:NANI02:1187:RapidTransit,160600,160700,Neuville - Université,2.07886,49.01426,A
stop_point:SNCF:87381459:RapidTransit,vehicle_journey:SNCF:2024-07-22:NANI02:1187:RapidTransit,160900,161000,Conflans Fin d'Oise,2.074587,48.989261,A
stop_point:SNCF:87381657:RapidTransit,vehicle_journey:SNCF:2024-07-22:NANI02:1187:RapidTransit,161200,161300,Achères Ville,2.07739,48.97011,A
stop_point:SNCF:87386425:RapidTransit,vehicle_journey:SNCF:2024-07-22:NANI02:1187:RapidTransit,161800,161900,Maisons-Laffitte,2.144315,48.945639,A
stop_point:SNCF:87386417:RapidTransit,vehicle_journey:SNCF:2024-07-22:NANI02:1187:RapidTransit,162000,162100,Sartrouville,2.157425,48.937907,A
stop_point:SNCF:87386409:RapidTransit,vehicle_journey:SNCF:2024-07-22:NANI02:1187:RapidTransit,162300,162400,Houilles - Carrières-sur-Seine,2.185083,48.919964,A
stop_point:SNCF:87758029:RapidTransit,vehicle_journey:SNCF:2024-07-22:NANI02:1187:RapidTransit,162800,163000,Nanterre Préfecture - RER,2.223103,48.895629,A
stop_point:SNCF:87758011:RapidTransit,vehicle_journey:SNCF:2024-07-22:NANI02:1187:RapidTransit,163100,163200,La Grande Arche de la Défense,2.238212,48.891718,A
stop_point:SNCF:87758003:RapidTransit,vehicle_journey:SNCF:2024-07-22:NANI02:1187:RapidTransit,163600,163600,Charles-de-Gaulle Étoile,2.29502,48.874201,A
stop_point:SNCF:87758599:RapidTransit,vehicle_journey:SNCF:2024-07-22:NANI02:1187:RapidTransit,163900,164000,Auber,2.330432,48.871956,A
stop_point:SNCF:87758607:RapidTransit,vehicle_journey:SNCF:2024-07-22:NANI02:1187:RapidTransit,164100,164200,Châtelet les Halles,2.34814,48.85983,A
stop_point:SNCF:87758581:RapidTransit,vehicle_journey:SNCF:2024-07-22:NANI02:1187:RapidTransit,164500,164600,Paris Gare de Lyon,2.374082,48.843811,A
stop_point:SNCF:87758102:RapidTransit,vehicle_journey:SNCF:2024-07-22:NANI02:1187:RapidTransit,164800,164800,Nation,2.395952,48.848177,A
stop_point:SNCF:87758110:RapidTransit,vehicle_journey:SNCF:2024-07-22:NANI02:1187:RapidTransit,165100,165200,Vincennes,2.433356,48.847334,A
stop_point:SNCF:87758128:RapidTransit,vehicle_journey:SNCF:2024-07-22:NANI02:1187:RapidTransit,165400,165400,Fontenay-sous-Bois,2.464339,48.843448,A
stop_point:SNCF:87758136:RapidTransit,vehicle_journey:SNCF:2024-07-22:NANI02:1187:RapidTransit,165600,165600,Nogent-sur-Marne,2.47194,48.834382,A
stop_point:SNCF:87758144:RapidTransit,vehicle_journey:SNCF:2024-07-22:NANI02:1187:RapidTransit,165800,165900,Joinville-le-Pont,2.463853,48.821055,A
stop_point:SNCF:87758151:RapidTransit,vehicle_journey:SNCF:2024-07-22:NANI02:1187:RapidTransit,170000,170100,Saint-Maur-des-Fossés - Créteil,2.472318,48.806348,A
stop_point:SNCF:87758169:RapidTransit,vehicle_journey:SNCF:2024-07-22:NANI02:1187:RapidTransit,170200,170300,Le Parc de Saint-Maur RER,2.485622,48.805162,A
stop_point:SNCF:87758177:RapidTransit,vehicle_journey:SNCF:2024-07-22:NANI02:1187:RapidTransit,170500,170500,Champigny,2.509683,48.807303,A
stop_point:SNCF:87758185:RapidTransit,vehicle_journey:SNCF:2024-07-22:NANI02:1187:RapidTransit,170700,170800,La Varenne Saint-Hilaire - Chennevières-sur-Marne,2.513141,48.794996,A
stop_point:SNCF:87758193:RapidTransit,vehicle_journey:SNCF:2024-07-22:NANI02:1187:RapidTransit,171000,171100,Sucy-en-Brie - Bonneuil-sur-Marne,2.508059,48.771139,A
stop_point:SNCF:87758201:RapidTransit,vehicle_journey:SNCF:2024-07-22:NANI02:1187:RapidTransit,171400,171400,Boissy-Saint-Léger,2.505344,48.753076,A
stop_point:SNCF:87382655:RapidTransit,vehicle_journey:SNCF:2024-07-22:NANI04:1187:RapidTransit,161400,161400,Cergy le Haut,2.011872,49.048493,A
stop_point:SNCF:87382499:RapidTransit,vehicle_journey:SNCF:2024-07-22:NANI04:1187:RapidTransit,161600,161700,Cergy Saint-Christophe,2.034437,49.049691,A
stop_point:SNCF:87381905:RapidTransit,vehicle_journey:SNCF:2024-07-22:NANI04:1187:RapidTransit,162000,162100,Cergy Préfecture,2.07982,49.03639,A
stop_point:SNCF:87334482:RapidTransit,vehicle_journey:SNCF:2024-07-22:NANI04:1187:RapidTransit,162400,162400,Neuville - Université,2.07886,49.01426,A
stop_point:SNCF:87381459:RapidTransit,vehicle_journey:SNCF:2024-07-22:NANI04:1187:RapidTransit,162600,162700,Conflans Fin d'Oise,2.074587,48.989261,A
stop_point:SNCF:87381657:RapidTransit,vehicle_journey:SNCF:2024-07-22:NANI04:1187:RapidTransit,162900,163000,Achères Ville,2.07739,48.97011,A
stop_point:SNCF:87386425:RapidTransit,vehicle_journey:SNCF:2024-07-22:NANI04:1187:RapidTransit,163500,163600,Maisons-Laffitte,2.144315,48.945639,A
stop_point:SNCF:87386417:RapidTransit,vehicle_journey:SNCF:2024-07-22:NANI04:1187:RapidTransit,163700,163800,Sartrouville,2.157425,48.937907,A
stop_point:SNCF:87386409:RapidTransit,vehicle_journey:SNCF:2024-07-22:NANI04:1187:RapidTransit,164000,164100,Houilles - Carrières-sur-Seine,2.185083,48.919964,A
