stop_point_id,journey_id,arrival_time,departure_time,stop_point_name,longitude,latitude
stop_point:SNCF:87758375:RapidTransit,vehicle_journey:SNCF:2024-07-08:BABY17:1187:RapidTransit,162200,162200,Torcy,2.654377,48.839557
stop_point:SNCF:87758367:RapidTransit,vehicle_journey:SNCF:2024-07-08:BABY17:1187:RapidTransit,162300,162400,Lognes,2.633673,48.839098
stop_point:SNCF:87758359:RapidTransit,vehicle_journey:SNCF:2024-07-08:BABY17:1187:RapidTransit,162600,162600,Noisiel,2.61639,48.84348
stop_point:SNCF:87758342:RapidTransit,vehicle_journey:SNCF:2024-07-08:BABY17:1187:RapidTransit,162800,162900,Noisy-le-Grand Champs,2.578225,48.842606
stop_point:SNCF:87758334:RapidTransit,vehicle_journey:SNCF:2024-07-08:BABY17:1187:RapidTransit,163100,163200,Noisy-le-Grand - Mont d'Est,2.547785,48.840998
stop_point:SNCF:87758326:RapidTransit,vehicle_journey:SNCF:2024-07-08:BABY17:1187:RapidTransit,163400,163400,Bry-sur-Marne,2.526298,48.844328
stop_point:SNCF:87758300:RapidTransit,vehicle_journey:SNCF:2024-07-08:BABY17:1187:RapidTransit,163700,163800,Val de Fontenay,2.488103,48.853707
stop_point:SNCF:87758110:RapidTransit,vehicle_journey:SNCF:2024-07-08:BABY17:1187:RapidTransit,164200,164300,Vincennes,2.433356,48.847334
stop_point:SNCF:87758102:RapidTransit,vehicle_journey:SNCF:2024-07-08:BABY17:1187:RapidTransit,164500,164600,Nation,2.395952,48.848177
stop_point:SNCF:87758581:RapidTransit,vehicle_journey:SNCF:2024-07-08:BABY17:1187:RapidTransit,164800,164900,Paris Gare de Lyon,2.374082,48.843811
stop_point:SNCF:87758607:RapidTransit,vehicle_journey:SNCF:2024-07-08:BABY17:1187:RapidTransit,165100,165200,Châtelet les Halles,2.34814,48.85983
stop_point:SNCF:87758599:RapidTransit,vehicle_journey:SNCF:2024-07-08:BABY17:1187:RapidTransit,165400,165500,Auber,2.330432,48.871956
stop_point:SNCF:87758003:RapidTransit,vehicle_journey:SNCF:2024-07-08:BABY17:1187:RapidTransit,165800,165800,Charles-de-Gaulle Étoile,2.29502,48.874201
stop_point:SNCF:87758011:RapidTransit,vehicle_journey:SNCF:2024-07-08:BABY17:1187:RapidTransit,170200,170200,La Grande Arche de la Défense,2.238212,48.891718
stop_point:SNCF:87758375:RapidTransit,vehicle_journey:SNCF:2024-07-08:BLOK39:1187:RapidTransit,164800,164800,Torcy,2.654377,48.839557
stop_point:SNCF:87758359:RapidTransit,vehicle_journey:SNCF:2024-07-08:BLOK39:1187:RapidTransit,165100,165100,Noisiel,2.61639,48.84348
